SPORT;TYPE;COMMUNE;NCOM;CAID_INS;CODE;LIEN_FICHE_DESCRIPTIVE;LIEN_PHOTOS;CATEGORIE;E;N
Equitation;Manège d'Avully - Le Courtil;AVULLY;6603;;6603.5.MAN1;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6603-5.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6603-5.html;Manège;2489065.22;1113801.14
Hippisme;Manège d'Avully - Le Courtil;AVULLY;6603;;6603.5.MAN1;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6603-5.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6603-5.html;Manège;2489065.22;1113801.14
Attelage;Manège d'Avusy;AVUSY;6604;;6604.1.MAN1;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6604-1.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6604-1.html;Manège;2489874.22;1113077.13
Dressage de cheval;Manège d'Avusy;AVUSY;6604;;6604.1.MAN1;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6604-1.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6604-1.html;Manège;2489874.22;1113077.13
Promenade équestre;Manège d'Avusy;AVUSY;6604;;6604.1.MAN1;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6604-1.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6604-1.html;Manège;2489874.22;1113077.13
Saut d'obstacle à cheval;Manège d'Avusy;AVUSY;6604;;6604.1.MAN1;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6604-1.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6604-1.html;Manège;2489874.22;1113077.13
Dressage de cheval;Manège d'Evordes;BARDONNEX;6605;;6605.1.MAN1;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6605-1.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6605-1.html;Manège;2499762.44;1111471.19
Equitation;Manège d'Evordes;BARDONNEX;6605;;6605.1.MAN1;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6605-1.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6605-1.html;Manège;2499762.44;1111471.19
Promenade équestre;Manège d'Evordes;BARDONNEX;6605;;6605.1.MAN1;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6605-1.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6605-1.html;Manège;2499762.44;1111471.19
Dressage de cheval;Manège de Bardonnex;BARDONNEX;6605;;6605.2.MAN2;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6605-2.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6605-2.html;Manège;2496849.34;1111958.16
Hippisme;Manège de Bardonnex;BARDONNEX;6605;;6605.2.MAN2;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6605-2.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6605-2.html;Manège;2496849.34;1111958.16
Ping-pong;Ping-pong;PLAN-les-OUATES;6633;;6633.12.SA27;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6633-12.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6633-12.html;salle;2497312.00;1114444.37
Athlétisme;Pistes extérieures;PLAN-les-OUATES;6633;;6633.12.SA26;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6633-12.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6633-12.html;salle;2497290.96;1114444.90
Basketball;Terrains extérieurs;PLAN-les-OUATES;6633;;6633.12.SA25;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6633-12.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6633-12.html;salle;2497254.73;1114406.82
Volley-ball;Terrains extérieurs;PLAN-les-OUATES;6633;;6633.12.SA25;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6633-12.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6633-12.html;salle;2497263.52;1114395.10
Promenade équestre;Manège de Bardonnex;BARDONNEX;6605;;6605.2.MAN2;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6605-2.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6605-2.html;Manège;2496849.34;1111958.16
Equitation;Centre de relation homme-animal;BERNEX;6607;;6607.1.MAN1;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6607-1.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6607-1.html;Manège;2492893.29;1113207.13
Equitation;Ranch des Trois-Chênes;BERNEX;6607;;6607.9.MAN2;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6607-9.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6607-9.html;Manège;2494804.31;1116651.19
Promenade équestre;Ranch des Trois-Chênes;BERNEX;6607;;6607.9.MAN2;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6607-9.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6607-9.html;Manège;2494804.31;1116651.19
Attelage;Ecurie du Cannelet;CHANCY;6611;;6611.1.MAN1;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6611-1.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6611-1.html;Manège;2488326.20;1112482.13
Dressage de cheval;Ecurie du Cannelet;CHANCY;6611;;6611.1.MAN1;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6611-1.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6611-1.html;Manège;2488326.20;1112482.13
Equitation;Ecurie du Cannelet;CHANCY;6611;;6611.1.MAN1;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6611-1.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6611-1.html;Manège;2488326.20;1112482.13
Promenade équestre;Ecurie du Cannelet;CHANCY;6611;;6611.1.MAN1;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6611-1.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6611-1.html;Manège;2488326.20;1112482.13
Saut d'obstacle à cheval;Ecurie du Cannelet;CHANCY;6611;;6611.1.MAN1;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6611-1.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6611-1.html;Manège;2488326.20;1112482.13
Promenade équestre;Ecurie Deruaz;CHOULEX;6614;;6614.4.MAN1;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6614-4.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6614-4.html;Manège;2506477.41;1119896.17
Equitation;Ecurie de Choulex;CHOULEX;6614;;6614.5.MAN2;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6614-5.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6614-5.html;Manège;2506639.41;1119151.17
Equitation;Manège de Mâchefer;COLLEX-BOSSY;6615;;6615.1.MAN1;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6615-1.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6615-1.html;Manège;2499899.29;1126003.31
Saut d'obstacle à cheval;Manège de Mâchefer;COLLEX-BOSSY;6615;;6615.1.MAN1;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6615-1.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6615-1.html;Manège;2499899.29;1126003.31
Dressage de cheval;Manège de Genève;COLLONGE-BELLERIVE;6616;;6616.5.MAN1;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6616-5.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6616-5.html;Manège;2505572.43;1122337.23
Equitation;Manège de Genève;COLLONGE-BELLERIVE;6616;;6616.5.MAN1;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6616-5.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6616-5.html;Manège;2505572.43;1122337.23
Saut d'obstacle à cheval;Manège de Genève;COLLONGE-BELLERIVE;6616;;6616.5.MAN1;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6616-5.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6616-5.html;Manège;2505572.43;1122337.23
Equitation;Manège de Corsier;CORSIER;6619;;6619.2.MAN1;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6619-2.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6619-2.html;Manège;2506422.42;1124381.24
Hippisme;Manège de Corsier;CORSIER;6619;;6619.2.MAN1;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6619-2.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6619-2.html;Manège;2506422.42;1124381.24
Saut d'obstacle à cheval;Manège de Corsier;CORSIER;6619;;6619.2.MAN1;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6619-2.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6619-2.html;Manège;2506422.42;1124381.24
Dressage de cheval;Ferme et poney club;GY;6624;;6624.3.MAN1;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6624-3.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6624-3.html;Manège;2508588.47;1123655.24
Equitation;Ferme et poney club;GY;6624;;6624.3.MAN1;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6624-3.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6624-3.html;Manège;2508588.47;1123655.24
Ponys-games;Ferme et poney club;GY;6624;;6624.3.MAN1;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6624-3.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6624-3.html;Manège;2508588.47;1123655.24
Saut d'obstacle à cheval;Ferme et poney club;GY;6624;;6624.3.MAN1;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6624-3.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6624-3.html;Manège;2508588.47;1123655.24
Equitation;Manège la Gambade;LACONNEX;6627;;6627.4.MAN1;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6627-4.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6627-4.html;Manège;2492199.28;1113315.13
Hippisme;Manège la Gambade;LACONNEX;6627;;6627.4.MAN1;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6627-4.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6627-4.html;Manège;2492199.28;1113315.13
Attelage;Les Hauts de Corsinge;MEINIER;6629;;6629.1.MAN1;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6629-1.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6629-1.html;Manège;2507952.46;1121818.20
Dressage de cheval;Les Hauts de Corsinge;MEINIER;6629;;6629.1.MAN1;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6629-1.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6629-1.html;Manège;2507952.46;1121818.20
Monte amazone;Les Hauts de Corsinge;MEINIER;6629;;6629.1.MAN1;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6629-1.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6629-1.html;Manège;2507952.46;1121818.20
Saut d'obstacle à cheval;Les Hauts de Corsinge;MEINIER;6629;;6629.1.MAN1;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6629-1.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6629-1.html;Manège;2507952.46;1121818.20
Attelage;Ecuries du Chambet;MEINIER;6629;;6629.2.MAN2;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6629-2.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6629-2.html;Manège;2508039.47;1121744.20
Dressage de cheval;Ecuries du Chambet;MEINIER;6629;;6629.2.MAN2;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6629-2.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6629-2.html;Manège;2508039.47;1121744.20
Promenade équestre;Ecuries du Chambet;MEINIER;6629;;6629.2.MAN2;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6629-2.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6629-2.html;Manège;2508039.47;1121744.20
Saut d'obstacle à cheval;Ecuries du Chambet;MEINIER;6629;;6629.2.MAN2;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6629-2.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6629-2.html;Manège;2508039.47;1121744.20
Dressage de cheval;Manège;MEYRIN;6630;;6630.5.MAN1;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6630-5.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6630-5.html;Manège;2494803.30;1120808.14
Equitation;Manège;MEYRIN;6630;;6630.5.MAN1;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6630-5.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6630-5.html;Manège;2494803.30;1120808.14
Hippisme;Manège;MEYRIN;6630;;6630.5.MAN1;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6630-5.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6630-5.html;Manège;2494803.30;1120808.14
Promenade équestre;Manège;MEYRIN;6630;;6630.5.MAN1;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6630-5.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6630-5.html;Manège;2494803.30;1120808.14
Dressage de cheval;Club Hippique de l'Eperon;ONEX;6631;;6631.1.MAN1;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6631-1.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6631-1.html;Manège;2496875.35;1115487.18
Equitation;Club Hippique de l'Eperon;ONEX;6631;;6631.1.MAN1;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6631-1.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6631-1.html;Manège;2496875.35;1115487.18
Promenade équestre;Club Hippique de l'Eperon;ONEX;6631;;6631.1.MAN1;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6631-1.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6631-1.html;Manège;2496875.35;1115487.18
Saut d'obstacle à cheval;Club Hippique de l'Eperon;ONEX;6631;;6631.1.MAN1;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6631-1.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6631-1.html;Manège;2496875.35;1115487.18
Attelage;Manège de la Gavotte;ONEX;6631;;6631.15.MAN2;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6631-15.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6631-15.html;Manège;2496683.33;1114587.17
Ponys-games;Manège de la Gavotte;ONEX;6631;;6631.15.MAN2;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6631-15.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6631-15.html;Manège;2496683.33;1114587.17
Promenade équestre;Manège de la Gavotte;ONEX;6631;;6631.15.MAN2;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6631-15.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6631-15.html;Manège;2496683.33;1114587.17
Saut d'obstacle à cheval;Manège de la Gavotte;ONEX;6631;;6631.15.MAN2;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6631-15.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6631-15.html;Manège;2496683.33;1114587.17
Voltige;Manège de la Gavotte;ONEX;6631;;6631.15.MAN2;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6631-15.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6631-15.html;Manège;2496683.33;1114587.17
Attelage;Poney-Club La Gavotte;PLAN-les-OUATES;6633;;6633.9.MAN1;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6633-9.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6633-9.html;Manège;2496704.33;1114551.17
Dressage de cheval;Poney-Club La Gavotte;PLAN-les-OUATES;6633;;6633.9.MAN1;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6633-9.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6633-9.html;Manège;2496704.33;1114551.17
Jeux;Poney-Club La Gavotte;PLAN-les-OUATES;6633;;6633.9.MAN1;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6633-9.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6633-9.html;Manège;2496704.33;1114551.17
Promenade équestre;Poney-Club La Gavotte;PLAN-les-OUATES;6633;;6633.9.MAN1;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6633-9.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6633-9.html;Manège;2496704.33;1114551.17
Saut d'obstacle à cheval;Poney-Club La Gavotte;PLAN-les-OUATES;6633;;6633.9.MAN1;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6633-9.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6633-9.html;Manège;2496704.33;1114551.17
Voltige;Poney-Club La Gavotte;PLAN-les-OUATES;6633;;6633.9.MAN1;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6633-9.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6633-9.html;Manège;2496704.33;1114551.17
Attelage;Poney Club;PRESINGE;6635;;6635.3.MAN1;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6635-3.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6635-3.html;Manège;2508338.43;1119677.15
Dressage de cheval;Poney Club;PRESINGE;6635;;6635.3.MAN1;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6635-3.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6635-3.html;Manège;2508338.43;1119677.15
