SPORT;TYPE;COMMUNE;NCOM;CAID_INS;CODE;LIEN_FICHE_DESCRIPTIVE;LIEN_PHOTOS;CATEGORIE;E;N
Handball;Agorespace des Fayards;VERSOIX;6644;;6644.15.SA22;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6644-15.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6644-15.html;terrain;2501818.26;1125596.22
Hockey sur gazon;Agorespace des Fayards;VERSOIX;6644;;6644.15.SA22;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6644-15.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6644-15.html;terrain;2501818.26;1125596.22
Tennis;Agorespace des Fayards;VERSOIX;6644;;6644.15.SA22;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6644-15.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6644-15.html;terrain;2501818.26;1125596.22
Volley-ball;Agorespace des Fayards;VERSOIX;6644;;6644.15.SA22;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6644-15.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6644-15.html;terrain;2501818.26;1125596.22
Fitness;Aire de fitness;VERSOIX;6644;;6644.3.SA21;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6644-3.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6644-3.html;centre sportif;2501153.23;1128024.28
Tennis;Courts de tennis (TC Versoix);VERSOIX;6644;;6644.3.SA3;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6644-3.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6644-3.html;centre sportif;2501096.24;1128015.28
Tennis;Courts de tennis (TC Versoix);VERSOIX;6644;;6644.3.SA4;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6644-3.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6644-3.html;centre sportif;2501060.22;1128112.29
Athlétisme;Installations pour l'athlétisme;VERSOIX;6644;;6644.3.SA2;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6644-3.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6644-3.html;centre sportif;2500992.22;1128120.29
Course à pied;Installations pour l'athlétisme;VERSOIX;6644;;6644.3.SA2;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6644-3.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6644-3.html;centre sportif;2500992.22;1128120.29
Lancer de poids;Installations pour l'athlétisme;VERSOIX;6644;;6644.3.SA2;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6644-3.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6644-3.html;centre sportif;2500992.22;1128120.29
